REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
North Eastern,15,Badakhshan,1502,Yaftal-e-Sufla,2017-04-21,Landslide / mudflow,0,0,1400,200,0,0,Spring,37.29251,70.36165
Eastern,13,Kunar,1305,Marawara,2017-04-21,Flood / flash flood,0,0,13,1,1,0,Spring,34.856211,71.219828
North Eastern,15,Badakhshan,1503,Argo,2017-04-21,Flood / flash flood,0,0,175,25,9,2,Spring,37.031002,70.413852
North Eastern,15,Badakhshan,1508,Shahr-e-Buzorg,2017-04-23,Flood / flash flood,0,0,315,45,37,8,Spring,37.315953,70.144747
North Eastern,16,Takhar,1608,Kalafgan,2017-04-23,Flood / flash flood,0,0,21,3,2,1,Spring,36.780002,69.908015
North Eastern,16,Takhar,1615,Eshkmesh,2017-04-23,Flood / flash flood,0,0,112,16,14,4,Spring,36.390203,69.386506
North Eastern,15,Badakhshan,1507,Yawan,2017-04-26,Landslide / mudflow,0,0,0,0,0,0,Spring,37.514601,70.388243
North Eastern,15,Badakhshan,1507,Yawan,2017-04-27,Landslide / mudflow,0,0,0,0,0,0,Spring,37.514601,70.388243
South Eastern,26,Khost,2610,Shamal,2017-05-01,Flood / flash flood,0,0,21,3,3,0,Spring,33.321153,69.533903
Western,21,Ghor,2101,Chaghcharan,2017-05-01,Flood / flash flood,0,0,399,57,57,0,Spring,34.524334,65.238265
Northern,18,Balkh,1810,Kaldar,2017-05-01,Flood / flash flood,0,0,504,72,0,72,Spring,37.111494,67.520118
South Eastern,26,Khost,2604,Nadirshahkot,2017-05-01,Flood / flash flood,0,0,49,7,5,2,Spring,33.386827,69.687169
South Eastern,26,Khost,2605,Mandozayi,2017-05-01,Flood / flash flood,0,0,77,11,11,0,Spring,33.336522,69.803569
Northern,18,Balkh,1803,Shortepa,2017-05-01,Flood / flash flood,0,0,280,40,0,40,Spring,37.213477,66.83258
South Eastern,26,Khost,2601,Khost (Matun),2017-05-01,Flood / flash flood,0,0,70,10,10,0,Spring,33.337571,69.91725
Northern,18,Balkh,1803,Shortepa,2017-05-04,Flood / flash flood,0,0,434,62,0,62,Spring,37.213477,66.83258
North Eastern,15,Badakhshan,1505,Kohestan,2017-05-06,Flood / flash flood,0,0,0,0,0,0,Spring,37.410686,70.662149
North Eastern,9,Baghlan,905,Nahrin,2017-05-07,Flood / flash flood,0,0,98,14,5,9,Spring,36.004002,69.020081
North Eastern,9,Baghlan,909,Khwajahejran,2017-05-07,Flood / flash flood,0,0,35,5,4,1,Spring,35.993359,69.294979
Northern,19,Samangan,1906,Khuram Wa Sarbagh,2017-05-07,Flood / flash flood,0,0,98,14,14,0,Spring,35.946376,68.057426
North Eastern,9,Baghlan,908,Andarab,2017-05-07,Flood / flash flood,0,0,196,28,23,5,Spring,35.604741,69.187513
North Eastern,9,Baghlan,907,Khenjan,2017-05-07,Flood / flash flood,1,1,245,35,18,17,Spring,35.453058,68.986856
Western,21,Ghor,2101,Chaghcharan,2017-05-07,Flood / flash flood,0,0,651,93,0,0,Spring,34.524334,65.238265
North Eastern,9,Baghlan,911,Pul-e- Hesar,2017-05-07,Flood / flash flood,0,0,42,6,5,1,Spring,35.58662,69.535737
Northern,19,Samangan,1901,Aybak,2017-05-07,Flood / flash flood,0,0,210,30,16,14,Spring,36.235103,68.237777
North Eastern,9,Baghlan,904,Doshi,2017-05-07,Flood / flash flood,0,0,14,2,0,2,Spring,35.582004,68.661703
North Eastern,16,Takhar,1607,Farkhar,2017-05-07,Flood / flash flood,0,0,294,42,39,3,Spring,36.477265,69.963273
Central Highland,10,Bamyan,1003,Yakawlang,2017-05-08,Landslide / mudflow,0,0,17,3,0,3,Spring,35.039948,66.994871
Central Highland,10,Bamyan,1004,Panjab,2017-05-12,Flood / flash flood,0,0,203,29,0,29,Spring,34.38689,66.930673
Central Highland,10,Bamyan,1007,Waras,2017-05-12,Flood / flash flood,0,0,266,35,0,35,Spring,34.163208,66.930112
Central Highland,10,Bamyan,1006,Kahmard,2017-05-12,Flood / flash flood,0,0,147,21,0,0,Spring,35.340373,67.749258
Central Highland,10,Bamyan,1003,Yakawlang,2017-05-12,Flood / flash flood,0,0,182,26,0,0,Spring,35.039948,66.994871
Central Highland,10,Bamyan,1002,Sayghan,2017-05-12,Flood / flash flood,0,0,126,18,0,0,Spring,35.124416,67.624207
North Eastern,15,Badakhshan,1521,Jorm,2017-05-15,Flood / flash flood,3,2,1792,256,144,112,Spring,36.724775,70.89802
North Eastern,15,Badakhshan,1503,Argo,2017-05-16,Flood / flash flood,0,0,140,20,10,10,Spring,37.031002,70.413852
Western,30,Hirat,3012,Obe,2017-05-16,Flood / flash flood,0,0,252,36,36,0,Spring,34.380977,63.292026
Western,29,Badghis,2905,Jawand,2017-05-16,Flood / flash flood,0,0,0,0,0,0,Spring,34.972066,64.274702
Western,21,Ghor,2101,Chaghcharan,2017-05-17,Flood / flash flood,0,0,1111,150,51,42,Spring,34.524334,65.238265
Eastern,13,Kunar,1307,Dara-e-Pech,2017-05-22,Flood / flash flood,0,0,14,2,2,0,Spring,34.931473,70.911379
Northern,27,Jawzjan,2709,Qarqin,2017-05-23,Flood / flash flood,0,0,0,0,56,0,Spring,37.299548,66.032927
Eastern,7,Laghman,704,Alingar,2017-06-12,Flood / flash flood,0,0,44,7,6,1,Summer,34.833038,70.425705
North Eastern,16,Takhar,1609,Rostaq,2017-06-13,Landslide / mudflow,0,0,245,35,27,8,Summer,37.110428,69.836849
Eastern,13,Kunar,1308,Chawkay,2017-06-14,Flood / flash flood,0,0,28,4,4,0,Summer,34.745481,70.862733
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2017-06-28,Flood / flash flood,2,1,30,6,6,0,Summer,35.019947,71.233756
Eastern,13,Kunar,1308,Chawkay,2017-06-28,Flood / flash flood,0,0,12,2,2,0,Summer,34.745481,70.862733
Eastern,13,Kunar,1303,Narang,2017-06-28,Flood / flash flood,0,0,6,1,1,0,Summer,34.817816,71.019069
Eastern,13,Kunar,1307,Dara-e-Pech,2017-06-28,Flood / flash flood,1,4,128,19,19,0,Summer,34.931473,70.911379
Eastern,13,Kunar,1309,Khaskunar,2017-06-28,Flood / flash flood,0,0,6,1,0,1,Summer,34.599138,70.919872
South Eastern,26,Khost,2602,Sabari,2017-06-29,Flood / flash flood,0,0,49,7,7,0,Summer,33.492199,69.952329
South Eastern,26,Khost,2606,Tani,2017-06-29,Flood / flash flood,0,0,21,3,3,0,Summer,33.204652,69.735546
South Eastern,25,Paktika,2504,Sarrawzah(Sarhawzah),2017-06-29,Flood / flash flood,0,0,84,12,12,0,Summer,33.114539,69.124714
South Eastern,25,Paktika,2510,Urgun,2017-06-29,Flood / flash flood,0,0,105,15,15,0,Summer,32.963344,69.206727
South Eastern,26,Khost,2601,Khost (Matun),2017-06-29,Flood / flash flood,0,0,133,19,10,9,Summer,33.337571,69.91725
North Eastern,15,Badakhshan,1512,Baharak,2017-07-08,Flood / flash flood,0,0,133,19,10,9,Summer,37.017329,70.910623
Northern,18,Balkh,1810,Kaldar,2017-07-13,Flood / flash flood,0,0,2331,333,0,333,Summer,37.111494,67.520118
South Eastern,11,Ghazni,1101,Ghazni,2017-07-13,Flood / flash flood,0,0,42,6,6,0,Summer,33.541807,68.441991
Northern,18,Balkh,1803,Shortepa,2017-07-13,Flood / flash flood,0,0,1092,156,0,156,Summer,37.213477,66.83258
Eastern,6,Nangarhar,607,Kama,2017-07-14,Flood / flash flood,0,0,58,8,8,0,Summer,34.446776,70.68128
Capital,3,Parwan,310,Surkh-e- Parsa,2017-07-15,Flood / flash flood,0,0,357,51,50,1,Summer,34.742986,68.643355
South Eastern,26,Khost,2606,Tani,2017-07-16,Flood / flash flood,0,0,147,21,17,4,Summer,33.204652,69.735546
South Eastern,26,Khost,2601,Khost (Matun),2017-07-16,Flood / flash flood,0,0,203,29,27,2,Summer,33.337571,69.91725
Eastern,6,Nangarhar,619,Muhmand Dara,2017-07-16,Flood / flash flood,0,0,151,19,19,0,Summer,34.225081,70.971158
South Eastern,12,Paktya,1201,Gardez,2017-07-16,Flood / flash flood,0,0,56,8,3,5,Summer,33.599864,69.229343
Capital,1,Kabul,113,Surobi,2017-07-16,Flood / flash flood,11,7,252,36,14,22,Summer,34.63319,69.710301
South Eastern,12,Paktya,1204,Zurmat,2017-07-16,Flood / flash flood,0,0,42,6,4,2,Summer,33.422467,69.017192
Eastern,13,Kunar,1303,Narang,2017-07-22,Flood / flash flood,0,0,14,2,2,0,Summer,34.817816,71.019069
Eastern,13,Kunar,1309,Khaskunar,2017-07-22,Flood / flash flood,0,0,28,4,4,0,Summer,34.599138,70.919872
Northern,18,Balkh,1803,Shortepa,2017-08-05,Flood / flash flood,0,0,749,107,0,107,Summer,37.213477,66.83258
Eastern,13,Kunar,1315,Nari,2017-08-11,Flood / flash flood,1,3,7,1,1,0,Summer,35.177373,71.508298
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2017-08-11,Flood / flash flood,0,0,7,1,1,0,Summer,35.019947,71.233756
Eastern,13,Kunar,1308,Chawkay,2017-08-11,Flood / flash flood,0,0,7,1,1,0,Summer,34.745481,70.862733
Eastern,13,Kunar,1301,Asadabad,2017-08-11,Flood / flash flood,0,0,21,3,3,0,Summer,34.859883,71.117064
Eastern,13,Kunar,1314,Nurgal,2017-08-11,Flood / flash flood,1,2,14,2,2,0,Summer,34.700584,70.728239
North Eastern,9,Baghlan,908,Andarab,2017-08-21,Landslide / mudflow,1,0,0,0,0,0,Summer,35.604741,69.187513
North Eastern,17,Kunduz,1701,Kunduz,2017-10-02,Flood / flash flood,0,0,91,13,0,13,Autumn,36.792264,68.86046
Central Highland,10,Bamyan,1003,Yakawlang,2017-10-25,Landslide / mudflow,0,0,0,0,0,0,Autumn,35.039948,66.994871
Capital,5,Logar,502,Khoshi,2017-11-05,Landslide / mudflow,0,0,140,20,0,0,Autumn,33.992404,69.292073
South Eastern,25,Paktika,2505,Zarghunshahr,2018-01-02,Flood / flash flood,0,0,1120,160,160,0,Winter,32.874959,68.442357
South Eastern,25,Paktika,2512,Janikhel,2018-01-03,Flood / flash flood,0,0,980,140,140,0,Winter,32.720219,68.452528
North Eastern,15,Badakhshan,1506,Raghestan,2018-01-28,Avalanche,1,2,3,0,0,0,Winter,37.67991,70.64017
North Eastern,15,Badakhshan,1505,Kohestan,2018-01-28,Landslide / mudflow,4,4,8,0,0,0,Winter,37.410686,70.662149
Eastern,13,Kunar,1309,Khaskunar,2018-01-31,Earthquake,0,0,7,2,2,0,Winter,34.599138,70.919872
Eastern,13,Kunar,1311,Barkunar,2018-01-31,Earthquake,0,0,42,6,6,0,Winter,35.062438,71.392415
Eastern,13,Kunar,1310,Dangam,2018-01-31,Earthquake,0,0,35,5,5,0,Winter,35.015631,71.446189
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2018-01-31,Earthquake,0,0,28,4,4,0,Winter,35.019947,71.233756
South Eastern,12,Paktya,1208,Alikhel (Jaji),2018-02-12,Flood / flash flood,0,0,280,40,40,0,Winter,33.954034,69.697367
South Eastern,12,Paktya,1201,Gardez,2018-02-12,Flood / flash flood,0,0,420,60,60,0,Winter,33.599864,69.229343
Eastern,13,Kunar,1314,Nurgal,2018-02-12,Flood / flash flood,0,0,31,3,3,0,Winter,34.700584,70.728239
