REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed,Season,Latitude,Longitude
Southern,24,Zabul,2401,Qalat,2020-01-06,Heavy snowfall,0,0,175,25,25,0,Winter,32.187366,66.953465
Northern,19,Samangan,1905,Dara-e Suf-e-Bala,2020-01-07,Landslide / mudflow,0,0,616,88,49,38,Winter,35.607098,67.254314
South Eastern,11,Ghazni,1110,Qarabagh,2020-01-08,Heavy snowfall,1,0,0,0,0,0,Winter,33.221892,67.999784
South Eastern,11,Ghazni,1112,Nawur,2020-01-08,Heavy snowfall,1,0,0,0,0,0,Winter,33.799362,67.787358
Southern,23,Uruzgan,2301,Tirinkot,2020-01-09,Flood / flash flood,0,0,1938,187,187,0,Winter,32.65496,65.849924
Southern,24,Zabul,2406,Shahjoy,2020-01-11,Heavy snowfall,0,0,279,41,41,0,Winter,32.494161,67.350653
Southern,32,Hilmand,3201,Lashkargah,2020-01-11,Flood / flash flood,0,3,479,61,26,35,Winter,31.451536,64.522944
Southern,32,Hilmand,3203,Nad-e-Ali,2020-01-11,Flood / flash flood,0,0,49,6,6,0,Winter,31.598961,63.835034
Southern,24,Zabul,2403,Mizan,2020-01-11,Heavy snowfall,0,0,982,97,95,2,Winter,32.183381,66.500889
Southern,33,Kandahar,3301,Kandahar,2020-01-11,Flood / flash flood,0,0,461,51,51,0,Winter,31.518012,65.697431
Southern,33,Kandahar,3304,Panjwayi,2020-01-11,Flood / flash flood,0,0,32,3,3,0,Winter,31.111277,65.198619
Southern,24,Zabul,2404,Tarnak Wa Jaldak,2020-01-11,Flood / flash flood,0,0,1041,135,118,17,Winter,31.905151,66.51603
Southern,33,Kandahar,3303,Zheray,2020-01-11,Flood / flash flood,0,0,88,8,8,0,Winter,31.6594,65.38371
Southern,33,Kandahar,3311,Spinboldak,2020-01-11,Flood / flash flood,6,9,10,1,10,1,Winter,30.952222,66.135407
Southern,33,Kandahar,3302,Arghandab,2020-01-11,Flood / flash flood,0,0,95,10,10,0,Winter,31.723683,65.628921
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,2020-01-11,Flood / flash flood,0,0,7,1,1,0,Winter,31.355971,64.217749
Southern,24,Zabul,2401,Qalat,2020-01-11,Heavy snowfall,0,0,691,67,59,8,Winter,32.187366,66.953465
Western,30,Hirat,3007,Karukh,2020-01-12,Heavy snowfall,3,0,21,3,0,0,Winter,34.483692,62.656587
Western,30,Hirat,3010,Adraskan,2020-01-12,Heavy snowfall,2,0,14,2,0,0,Winter,33.72015,61.816468
Eastern,7,Laghman,703,Qarghayi,2020-01-13,Flood / flash flood,0,0,65,6,6,0,Winter,34.543504,70.214523
Eastern,7,Laghman,705,Dawlatshah,2020-01-13,Flood / flash flood,0,0,31,4,4,0,Winter,35.03591,70.00979
Eastern,7,Laghman,704,Alingar,2020-01-13,Flood / flash flood,0,0,89,13,13,0,Winter,34.833038,70.425705
Eastern,7,Laghman,701,Mehtarlam,2020-01-13,Flood / flash flood,0,0,391,48,45,3,Winter,34.666954,70.071718
Eastern,13,Kunar,1301,Asadabad,2020-01-13,Flood / flash flood,0,0,0,0,0,0,Winter,34.859883,71.117064
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2020-01-13,Flood / flash flood,0,0,0,0,0,0,Winter,35.019947,71.233756
Eastern,7,Laghman,702,Alishang,2020-01-13,Flood / flash flood,0,0,45,8,8,0,Winter,34.866429,70.072183
Eastern,13,Kunar,1307,Dara-e-Pech,2020-01-13,Flood / flash flood,0,0,0,0,0,0,Winter,34.931473,70.911379
Eastern,13,Kunar,1314,Nurgal,2020-01-13,Flood / flash flood,0,0,0,0,0,0,Winter,34.700584,70.728239
Eastern,6,Nangarhar,602,Behsud,2020-01-13,Flood / flash flood,0,0,8,1,1,0,Winter,34.423905,70.520494
Western,21,Ghor,2103,DoLayna,2020-01-18,Avalanche,1,0,0,0,0,0,Winter,34.072791,64.861074
Western,21,Ghor,2104,Dawlatyar,2020-01-19,Heavy snowfall,1,0,0,0,0,0,Winter,34.622616,65.789997
Capital,5,Logar,503,Mohammadagha,2020-01-20,Heavy snowfall,0,0,56,8,2,4,Winter,34.201218,69.194122
Capital,5,Logar,501,Pul-e-Alam,2020-01-20,Heavy snowfall,8,0,266,38,8,30,Winter,33.991566,69.046969
Western,30,Hirat,3005,Guzara,2020-01-24,Flood / flash flood,0,0,7,1,1,0,Winter,34.040952,62.013878
Western,30,Hirat,3007,Karukh,2020-01-24,Flood / flash flood,0,0,133,19,19,0,Winter,34.483692,62.656587
Western,30,Hirat,3001,Hirat,2020-01-24,Flood / flash flood,0,0,56,8,8,0,Winter,34.395992,62.231053
Western,30,Hirat,3002,Injil,2020-01-24,Flood / flash flood,0,0,56,8,8,0,Winter,34.411669,62.207729
Southern,23,Uruzgan,2301,Tirinkot,2020-01-26,Flood / flash flood,0,0,929,95,95,0,Winter,32.65496,65.849924
Southern,32,Hilmand,3201,Lashkargah,2020-01-27,Flood / flash flood,0,0,319,40,40,0,Winter,31.451536,64.522944
Eastern,13,Kunar,1308,Chawkay,2020-01-30,Flood / flash flood,0,0,0,0,0,0,Winter,34.745481,70.862733
Eastern,13,Kunar,1301,Asadabad,2020-01-30,Flood / flash flood,0,0,0,0,0,0,Winter,34.859883,71.117064
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2020-01-30,Flood / flash flood,0,0,0,0,0,0,Winter,35.019947,71.233756
Eastern,13,Kunar,1303,Narang,2020-01-30,Flood / flash flood,0,0,0,0,0,0,Winter,34.817816,71.019069
South Eastern,12,Paktya,1207,Lija Ahmad Khel,2020-02-04,Heavy snowfall,0,0,70,10,0,10,Winter,33.797792,69.605362
South Eastern,12,Paktya,1206,Zadran,2020-02-04,Heavy snowfall,1,0,28,4,4,0,Winter,33.416216,69.424522
South Eastern,12,Paktya,1201,Gardez,2020-02-04,Heavy snowfall,0,0,7,1,1,0,Winter,33.599864,69.229343
South Eastern,12,Paktya,1211,Dand Wa Patan,2020-02-04,Heavy snowfall,0,0,77,11,0,11,Winter,33.809267,69.901955
South Eastern,12,Paktya,1210,Chamkani,2020-02-04,Heavy snowfall,2,1,63,9,0,9,Winter,33.793514,69.791159
South Eastern,12,Paktya,1208,Alikhel (Jaji),2020-02-04,Heavy snowfall,0,0,84,12,0,12,Winter,33.954034,69.697367
South Eastern,12,Paktya,1202,Sayedkaram,2020-02-04,Heavy snowfall,0,0,42,6,0,6,Winter,33.731336,69.469893
South Eastern,12,Paktya,1203,Ahmadaba,2020-02-04,Heavy snowfall,0,0,7,1,1,0,Winter,33.784922,69.345758
Capital,2,Kapisa,203,Kohband,2020-02-10,Heavy snowfall,0,0,14,2,2,0,Winter,35.110987,69.460654
Capital,2,Kapisa,201,Mahmud-e-Raqi,2020-02-10,Heavy snowfall,0,0,14,2,2,0,Winter,35.01233,69.382066
Capital,2,Kapisa,207,Hisa-e- Awal-e- Kohestan,2020-02-10,Heavy snowfall,0,0,42,6,4,2,Winter,35.135942,69.334935
Capital,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,2020-02-10,Heavy snowfall,0,0,14,2,2,0,Winter,35.069169,69.328034
Southern,33,Kandahar,3301,Kandahar,2020-02-12,Flood / flash flood,0,0,79,8,8,0,Winter,31.518012,65.697431
Southern,24,Zabul,2401,Qalat,2020-02-12,Heavy snowfall,0,0,1549,174,174,0,Winter,32.187366,66.953465
Southern,23,Uruzgan,2301,Tirinkot,2020-02-12,Flood / flash flood,0,0,0,0,0,0,Winter,32.65496,65.849924
South Eastern,11,Ghazni,1101,Ghazni,2020-02-15,Flood / flash flood,0,0,1330,190,0,0,Winter,33.541807,68.441991
Western,29,Badghis,2901,Qala-e-Naw,2020-02-15,Flood / flash flood,0,0,7,1,1,0,Winter,34.861003,63.130681
Western,30,Hirat,3015,Shindand,2020-02-15,Flood / flash flood,0,0,105,15,0,15,Winter,33.266402,61.777242
Northern,28,Faryab,2807,Kohestan,2020-02-15,Heavy snowfall,0,0,1869,267,79,188,Winter,35.349423,64.956595
Southern,32,Hilmand,3203,Nad-e-Ali,2020-02-15,Flood / flash flood,0,0,0,0,0,0,Winter,31.598961,63.835034
Eastern,14,Nuristan,1401,Poruns,2020-02-17,Heavy snowfall,0,0,399,57,57,0,Winter,35.421264,70.787779
Eastern,14,Nuristan,1405,Wama,2020-02-17,Heavy snowfall,0,0,441,63,63,0,Winter,35.107368,70.719288
Eastern,6,Nangarhar,602,Behsud,2020-02-20,Flood / flash flood,0,0,18,1,1,0,Winter,34.423905,70.520494
Central Highland,10,Bamyan,1001,Bamyan,2020-02-20,Heavy snowfall,0,0,0,1000,0,0,Winter,34.755695,67.640391
Eastern,13,Kunar,1301,Asadabad,2020-02-21,Flood / flash flood,0,0,0,0,0,0,Winter,34.859883,71.117064
Eastern,13,Kunar,1305,Marawara,2020-02-21,Flood / flash flood,0,0,0,0,0,0,Winter,34.856211,71.219828
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2020-02-21,Flood / flash flood,0,0,0,0,0,0,Winter,35.019947,71.233756
Eastern,13,Kunar,1307,Dara-e-Pech,2020-02-21,Flood / flash flood,0,0,0,0,0,0,Winter,34.931473,70.911379
Central Highland,22,Daykundi,2209,Miramor,2020-02-25,Avalanche,0,0,455,65,0,0,Winter,33.826512,66.987777
Central Highland,22,Daykundi,2209,Miramor,2020-02-25,Heavy snowfall,0,0,1155,165,0,0,Winter,33.826512,66.987777
Eastern,6,Nangarhar,608,Kuzkunar,2020-02-29,Flood / flash flood,0,0,3,1,1,0,Winter,34.579197,70.569434
Eastern,6,Nangarhar,601,Jalalabad,2020-02-29,Flood / flash flood,0,0,173,21,21,0,Winter,34.419822,70.436525
Eastern,13,Kunar,1304,Sarkani,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.705403,71.086416
Eastern,7,Laghman,705,Dawlatshah,2020-02-29,Flood / flash flood,0,0,21,3,3,0,Winter,35.03591,70.00979
Eastern,6,Nangarhar,619,Muhmand Dara,2020-02-29,Flood / flash flood,0,0,135,18,18,0,Winter,34.225081,70.971158
Eastern,13,Kunar,1314,Nurgal,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.700584,70.728239
Eastern,6,Nangarhar,603,Surkhrod,2020-02-29,Flood / flash flood,0,0,98,12,12,0,Winter,34.420676,70.317617
Eastern,6,Nangarhar,609,Dara-e-Nur,2020-02-29,Flood / flash flood,0,0,16,3,3,0,Winter,34.717402,70.599527
Eastern,6,Nangarhar,621,Nazyan,2020-02-29,Flood / flash flood,0,0,35,6,6,0,Winter,34.055839,70.799091
Eastern,13,Kunar,1309,Khaskunar,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.599138,70.919872
Eastern,6,Nangarhar,611,Sherzad,2020-02-29,Flood / flash flood,0,0,100,13,13,0,Winter,34.181064,69.928431
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,35.019947,71.233756
Eastern,7,Laghman,704,Alingar,2020-02-29,Flood / flash flood,1,0,103,21,21,0,Winter,34.833038,70.425705
Eastern,6,Nangarhar,602,Behsud,2020-02-29,Flood / flash flood,0,0,189,19,19,0,Winter,34.423905,70.520494
Eastern,13,Kunar,1302,Watapur,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.972029,71.079464
Eastern,6,Nangarhar,617,Achin,2020-02-29,Flood / flash flood,0,0,161,21,21,0,Winter,34.056653,70.650371
Eastern,7,Laghman,702,Alishang,2020-02-29,Flood / flash flood,0,0,249,43,43,0,Winter,34.866429,70.072183
Eastern,6,Nangarhar,604,Khogyani,2020-02-29,Flood / flash flood,0,0,98,14,14,0,Winter,34.446776,70.68128
Eastern,6,Nangarhar,605,Chaparhar,2020-02-29,Flood / flash flood,2,0,114,16,11,5,Winter,34.298027,70.367422
Eastern,6,Nangarhar,606,Rodat,2020-02-29,Flood / flash flood,0,0,3,1,1,0,Winter,34.256662,70.550781
Eastern,6,Nangarhar,618,Shinwar,2020-02-29,Flood / flash flood,0,0,310,40,40,0,Winter,34.205904,70.816901
Eastern,13,Kunar,1313,Chapadara,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.901138,70.700645
Eastern,6,Nangarhar,613,Dehbala,2020-02-29,Flood / flash flood,0,0,153,19,19,0,Winter,34.092342,70.449203
Eastern,13,Kunar,1303,Narang,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.817816,71.019069
Eastern,7,Laghman,701,Mehtarlam,2020-02-29,Flood / flash flood,1,11,502,73,71,2,Winter,34.666954,70.071718
Eastern,13,Kunar,1305,Marawara,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.856211,71.219828
Eastern,13,Kunar,1308,Chawkay,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.745481,70.862733
Eastern,13,Kunar,1312,Ghaziabad,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,35.209863,71.320771
Eastern,13,Kunar,1301,Asadabad,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.859883,71.117064
Eastern,6,Nangarhar,620,Lalpur,2020-02-29,Flood / flash flood,0,0,37,6,6,0,Winter,34.322068,71.01777
Eastern,13,Kunar,1307,Dara-e-Pech,2020-02-29,Flood / flash flood,0,0,0,0,0,0,Winter,34.931473,70.911379
Eastern,6,Nangarhar,607,Kama,2020-02-29,Flood / flash flood,2,1,39,7,5,2,Winter,34.446776,70.68128
Eastern,6,Nangarhar,612,Pachieragam,2020-02-29,Flood / flash flood,0,10,23,3,1,2,Winter,34.077161,70.302235
South Eastern,25,Paktika,2506,Yahyakhel,2020-03-01,Flood / flash flood,0,0,196,28,28,0,Spring,32.905985,68.639031
Central Highland,10,Bamyan,1004,Panjab,2020-03-10,Flood / flash flood,0,0,77,11,0,0,Spring,34.38689,66.930673
Central Highland,10,Bamyan,1003,Yakawlang,2020-03-10,Flood / flash flood,0,0,84,12,0,0,Spring,35.039948,66.994871
Central Highland,10,Bamyan,1007,Waras,2020-03-10,Flood / flash flood,0,0,56,8,0,0,Spring,34.163208,66.930112
Central Highland,10,Bamyan,1006,Kahmard,2020-03-10,Flood / flash flood,0,0,28,4,0,0,Spring,35.340373,67.749258
Central Highland,10,Bamyan,1001,Bamyan,2020-03-10,Flood / flash flood,0,0,35,5,0,0,Spring,34.755695,67.640391
Central Highland,10,Bamyan,1002,Sayghan,2020-03-10,Flood / flash flood,0,0,63,9,0,0,Spring,35.124416,67.624207
South Eastern,11,Ghazni,1101,Ghazni,2020-03-11,Flood / flash flood,0,0,24,3,52,5,Spring,33.541807,68.441991
Central Highland,22,Daykundi,2209,Miramor,2020-03-15,Heavy snowfall,0,0,343,49,16,0,Spring,33.826512,66.987777
North Eastern,16,Takhar,1614,Khwajaghar,2020-03-21,Flood / flash flood,0,0,385,55,37,18,Spring,37.008715,69.403914
North Eastern,16,Takhar,1613,Dasht-e- Qala,2020-03-21,Flood / flash flood,0,0,168,24,21,3,Spring,37.196709,69.503505
Eastern,6,Nangarhar,611,Sherzad,2020-03-22,Flood / flash flood,0,0,185,26,26,0,Spring,34.181064,69.928431
Eastern,6,Nangarhar,601,Jalalabad,2020-03-22,Flood / flash flood,1,2,17,2,1,1,Spring,34.419822,70.436525
Eastern,6,Nangarhar,602,Behsud,2020-03-22,Flood / flash flood,0,0,140,16,16,0,Spring,34.423905,70.520494
Eastern,6,Nangarhar,603,Surkhrod,2020-03-22,Flood / flash flood,0,0,92,7,7,0,Spring,34.420676,70.317617
Eastern,6,Nangarhar,610,Hesarak,2020-03-22,Flood / flash flood,0,0,173,24,12,12,Spring,34.24617,69.743543
Eastern,6,Nangarhar,612,Pachieragam,2020-03-22,Flood / flash flood,0,0,594,76,59,17,Spring,34.077161,70.302235
Eastern,6,Nangarhar,604,Khogyani,2020-03-22,Flood / flash flood,0,0,143,22,22,0,Spring,34.446776,70.68128
Eastern,7,Laghman,701,Mehtarlam,2020-03-23,Flood / flash flood,0,0,159,19,19,0,Spring,34.666954,70.071718
Western,30,Hirat,3010,Adraskan,2020-03-23,Flood / flash flood,0,0,238,34,34,0,Spring,33.72015,61.816468
Eastern,7,Laghman,702,Alishang,2020-03-23,Flood / flash flood,0,0,197,40,40,0,Spring,34.866429,70.072183
Western,30,Hirat,3015,Shindand,2020-03-23,Flood / flash flood,0,2,3335,438,240,30,Spring,33.266402,61.777242
Western,31,Farah,3104,khak-e-Safed,2020-03-23,Flood / flash flood,0,0,700,100,80,20,Spring,32.749551,62.103717
Western,30,Hirat,3001,Hirat,2020-03-23,Flood / flash flood,0,0,56,8,8,0,Spring,34.395992,62.231053
Western,30,Hirat,3005,Guzara,2020-03-23,Flood / flash flood,0,0,112,16,15,1,Spring,34.040952,62.013878
Eastern,13,Kunar,1302,Watapur,2020-03-24,Flood / flash flood,0,0,56,8,8,0,Spring,34.972029,71.079464
Eastern,13,Kunar,1307,Dara-e-Pech,2020-03-24,Flood / flash flood,0,0,79,11,11,0,Spring,34.931473,70.911379
Eastern,13,Kunar,1304,Sarkani,2020-03-24,Flood / flash flood,0,0,78,10,10,0,Spring,34.705403,71.086416
Eastern,7,Laghman,701,Mehtarlam,2020-03-24,Flood / flash flood,0,0,74,11,11,0,Spring,34.666954,70.071718
Eastern,13,Kunar,1309,Khaskunar,2020-03-24,Flood / flash flood,0,0,63,9,9,0,Spring,34.599138,70.919872
Eastern,7,Laghman,704,Alingar,2020-03-24,Flood / flash flood,0,0,170,30,30,0,Spring,34.833038,70.425705
Eastern,13,Kunar,1305,Marawara,2020-03-24,Flood / flash flood,0,0,91,13,13,0,Spring,34.856211,71.219828
Eastern,13,Kunar,1311,Barkunar,2020-03-24,Flood / flash flood,0,0,56,8,8,0,Spring,35.062438,71.392415
Eastern,13,Kunar,1308,Chawkay,2020-03-24,Flood / flash flood,0,0,63,9,9,0,Spring,34.745481,70.862733
Eastern,13,Kunar,1315,Nari,2020-03-24,Flood / flash flood,0,0,84,12,12,0,Spring,35.177373,71.508298
South Eastern,11,Ghazni,1101,Ghazni,2020-03-24,Flood / flash flood,0,0,64,7,6,0,Spring,33.541807,68.441991
Eastern,13,Kunar,1306,Shigal Wa Sheltan,2020-03-24,Flood / flash flood,0,0,289,41,41,0,Spring,35.019947,71.233756
Southern,32,Hilmand,3202,Nahr-e-Saraj,2020-03-24,Flood / flash flood,0,0,152,20,20,0,Spring,31.82448,64.552445
Eastern,13,Kunar,1303,Narang,2020-03-24,Flood / flash flood,0,0,72,10,10,0,Spring,34.817816,71.019069
Eastern,13,Kunar,1310,Dangam,2020-03-24,Flood / flash flood,0,0,84,12,12,0,Spring,35.015631,71.446189
Eastern,13,Kunar,1301,Asadabad,2020-03-24,Flood / flash flood,0,0,133,19,19,0,Spring,34.859883,71.117064
Eastern,13,Kunar,1313,Chapadara,2020-03-24,Flood / flash flood,0,0,191,26,26,0,Spring,34.901138,70.700645
North Eastern,15,Badakhshan,1501,Fayzabad,2020-03-25,Flood / flash flood,0,0,37,6,5,0,Spring,37.217022,70.62815
South Eastern,11,Ghazni,1101,Ghazni,2020-03-25,Flood / flash flood,0,0,49,7,3,0,Spring,33.541807,68.441991
North Eastern,16,Takhar,1610,Chahab,2020-03-28,Flood / flash flood,0,0,28,4,0,4,Spring,37.426269,69.928441
Capital,2,Kapisa,201,Mahmud-e-Raqi,2020-03-29,Flood / flash flood,0,0,77,11,0,0,Spring,35.01233,69.382066
Capital,3,Parwan,304,Bagram,2020-03-29,Flood / flash flood,0,0,21,3,3,0,Spring,34.905671,69.377716
Capital,1,Kabul,104,Paghman,2020-03-29,Flood / flash flood,0,0,70,10,10,0,Spring,34.541028,68.946488
Capital,2,Kapisa,207,Hisa-e- Awal-e- Kohestan,2020-03-29,Flood / flash flood,0,0,70,10,0,0,Spring,35.135942,69.334935
Capital,1,Kabul,107,Bagrami,2020-03-29,Flood / flash flood,0,0,56,8,8,0,Spring,34.48912,69.305418
Capital,3,Parwan,305,Saydkhel,2020-03-29,Flood / flash flood,0,0,21,3,3,0,Spring,35.04724,69.282208
Capital,3,Parwan,302,Jabalussaraj,2020-03-29,Flood / flash flood,0,0,21,3,3,0,Spring,35.12966,69.202044
Capital,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,2020-03-29,Flood / flash flood,0,0,105,15,0,0,Spring,35.069169,69.328034
Capital,3,Parwan,306,Salang,2020-03-29,Flood / flash flood,0,0,21,3,3,0,Spring,35.293998,69.163208
Southern,34,Nimroz,3404,Chakhansur,2020-03-29,Flood / flash flood,0,0,572,94,16,47,Spring,31.375184,62.486654
Capital,3,Parwan,301,Charikar,2020-03-29,Flood / flash flood,0,0,21,3,3,0,Spring,34.955632,69.120882
Capital,1,Kabul,103,Shakardara,2020-03-29,Flood / flash flood,0,0,70,10,10,0,Spring,34.66827,69.06244
South Eastern,25,Paktika,2506,Yahyakhel,2020-03-30,Flood / flash flood,0,0,21,3,3,0,Spring,32.905985,68.639031
South Eastern,25,Paktika,2501,Sharan,2020-03-30,Flood / flash flood,0,0,56,8,8,0,Spring,33.21275,68.747296
South Eastern,25,Paktika,2510,Urgun,2020-03-30,Flood / flash flood,0,0,35,5,5,0,Spring,32.963344,69.206727
South Eastern,25,Paktika,2509,Sarobi,2020-03-30,Flood / flash flood,0,0,49,7,7,0,Spring,32.78507,69.124285
South Eastern,11,Ghazni,1105,Andar,2020-03-30,Flood / flash flood,0,0,0,0,0,0,Spring,33.296152,68.452393
Western,29,Badghis,2901,Qala-e-Naw,2020-03-30,Flood / flash flood,0,0,11,2,8,2,Spring,34.861003,63.130681
Southern,34,Nimroz,3403,Charburjak,2020-03-30,Flood / flash flood,0,0,123,18,8,1,Spring,30.113318,62.073903
South Eastern,25,Paktika,2503,Yosufkhel,2020-03-30,Flood / flash flood,0,0,28,4,4,0,Spring,33.036413,68.657889
Southern,34,Nimroz,3405,Khashrod,2020-03-30,Flood / flash flood,0,0,198,22,3,1,Spring,31.725304,62.939043
South Eastern,11,Ghazni,1104,Waghaz,2020-03-30,Flood / flash flood,0,0,0,0,0,0,Spring,33.420537,68.226157
South Eastern,11,Ghazni,1101,Ghazni,2020-03-30,Flood / flash flood,0,0,80,11,38,3,Spring,33.541807,68.441991
South Eastern,11,Ghazni,1102,Khwajaumari,2020-03-31,Flood / flash flood,0,0,98,14,14,0,Spring,33.673222,68.41467
Western,31,Farah,3108,Lash-e-Juwayn,2020-04-01,Flood / flash flood,0,0,1653,235,30,0,Spring,31.758847,61.322829
Eastern,14,Nuristan,1401,Poruns,2020-04-01,Landslide / mudflow,0,0,28,4,4,0,Spring,35.421264,70.787779
Western,30,Hirat,3001,Hirat,2020-04-01,Flood / flash flood,0,0,391,49,17,0,Spring,34.395992,62.231053
Western,30,Hirat,3005,Guzara,2020-04-01,Flood / flash flood,0,0,82,9,31,0,Spring,34.040952,62.013878
Southern,24,Zabul,2401,Qalat,2020-04-01,Flood / flash flood,0,0,89,9,9,0,Spring,32.187366,66.953465
Western,31,Farah,3102,Bakwa,2020-04-01,Flood / flash flood,3,0,2366,359,37,0,Spring,32.22493,62.864123
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,2020-04-02,Flood / flash flood,0,0,172,21,21,0,Spring,31.355971,64.217749
Capital,3,Parwan,305,Saydkhel,2020-04-03,Flood / flash flood,0,0,14,2,15,3,Spring,35.04724,69.282208
Eastern,6,Nangarhar,602,Behsud,2020-04-06,Flood / flash flood,0,0,115,11,11,0,Spring,34.423905,70.520494
North Eastern,16,Takhar,1605,Chal,2020-04-06,Flood / flash flood,0,0,28,4,2,2,Spring,36.47408,69.562078
Eastern,6,Nangarhar,603,Surkhrod,2020-04-06,Flood / flash flood,0,0,35,3,3,0,Spring,34.420676,70.317617
Southern,23,Uruzgan,2301,Tirinkot,2020-04-08,Flood / flash flood,0,0,1048,128,128,0,Spring,32.65496,65.849924
Northern,28,Faryab,2801,Maymana,2020-04-12,Flood / flash flood,0,0,378,54,35,19,Spring,35.901683,64.758825
North Eastern,16,Takhar,1605,Chal,2020-04-13,Flood / flash flood,0,0,84,12,12,0,Spring,36.47408,69.562078
Northern,27,Jawzjan,2703,Khwajadukoh,2020-04-13,Flood / flash flood,0,0,67,8,8,0,Spring,36.935396,65.619001
Western,29,Badghis,2901,Qala-e-Naw,2020-04-13,Flood / flash flood,0,0,320,42,8,2,Spring,34.861003,63.130681
Northern,27,Jawzjan,2701,Shiberghan,2020-04-13,Flood / flash flood,0,0,115,14,6,0,Spring,36.626436,65.77841
North Eastern,16,Takhar,1614,Khwajaghar,2020-04-13,Flood / flash flood,0,0,35,5,2,3,Spring,37.008715,69.403914
North Eastern,16,Takhar,1601,Taloqan,2020-04-13,Flood / flash flood,0,0,112,16,14,2,Spring,36.742722,69.523116
Western,30,Hirat,3007,Karukh,2020-04-13,Flood / flash flood,0,0,90,10,13,0,Spring,34.483692,62.656587
Northern,18,Balkh,1801,Mazar-e-Sharif,2020-04-14,Flood / flash flood,0,0,20,2,6,0,Spring,36.703226,67.112903
Eastern,13,Kunar,1315,Nari,2020-04-14,Flood / flash flood,4,0,49,7,7,0,Spring,35.177373,71.508298
Capital,8,Panjsher,804,Dara,2020-04-14,Avalanche,0,0,70,10,0,10,Spring,35.233269,69.746063
Capital,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,2020-04-14,Flood / flash flood,0,0,203,29,29,0,Spring,35.069169,69.328034
Eastern,13,Kunar,1301,Asadabad,2020-04-14,Flood / flash flood,0,3,471,68,68,0,Spring,34.859883,71.117064
Eastern,6,Nangarhar,602,Behsud,2020-04-14,Flood / flash flood,0,0,38,3,3,0,Spring,34.423905,70.520494
Eastern,6,Nangarhar,620,Lalpur,2020-04-14,Flood / flash flood,0,0,116,16,16,0,Spring,34.322068,71.01777
Capital,1,Kabul,103,Shakardara,2020-04-14,Flood / flash flood,0,0,140,20,16,4,Spring,34.66827,69.06244
Eastern,13,Kunar,1305,Marawara,2020-04-14,Flood / flash flood,0,0,167,22,22,0,Spring,34.856211,71.219828
Eastern,6,Nangarhar,604,Khogyani,2020-04-14,Flood / flash flood,0,0,137,19,19,0,Spring,34.446776,70.68128
Eastern,6,Nangarhar,615,Batikot,2020-04-14,Flood / flash flood,0,0,34,5,5,0,Spring,34.304829,70.721243
Eastern,13,Kunar,1304,Sarkani,2020-04-14,Flood / flash flood,0,0,70,10,10,0,Spring,34.705403,71.086416
Capital,2,Kapisa,206,Alasay,2020-04-14,Flood / flash flood,0,0,56,8,8,0,Spring,34.916672,69.813422
Eastern,13,Kunar,1303,Narang,2020-04-14,Flood / flash flood,0,0,28,4,4,0,Spring,34.817816,71.019069
Eastern,13,Kunar,1313,Chapadara,2020-04-14,Flood / flash flood,0,0,84,12,12,0,Spring,34.901138,70.700645
Eastern,6,Nangarhar,606,Rodat,2020-04-14,Flood / flash flood,0,0,84,11,11,0,Spring,34.256662,70.550781
Capital,2,Kapisa,205,Tagab,2020-04-14,Flood / flash flood,0,0,119,17,17,0,Spring,34.803659,69.649529
Eastern,7,Laghman,702,Alishang,2020-04-14,Flood / flash flood,0,0,192,36,36,0,Spring,34.866429,70.072183
Eastern,13,Kunar,1310,Dangam,2020-04-14,Flood / flash flood,0,0,105,15,15,0,Spring,35.015631,71.446189
Eastern,6,Nangarhar,613,Dehbala,2020-04-14,Flood / flash flood,0,0,104,11,11,0,Spring,34.092342,70.449203
Eastern,6,Nangarhar,603,Surkhrod,2020-04-14,Flood / flash flood,0,0,27,3,3,0,Spring,34.420676,70.317617
Capital,8,Panjsher,802,Shutul,2020-04-14,Flood / flash flood,0,0,21,3,3,0,Spring,35.289161,69.300461
